,Treatment_i,Treatment_j,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,isSignificant_NewEplsar,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.002178252442092209,-0.0014317125938346032,True,-0.0021911848615413267,-0.0013689478784114492,True,-0.0021092646246405823,-0.0012652942047831147,True
1,Dry lucerne,Dry bamboo,-0.0015831530692333158,-0.0008768230955720764,True,-0.0017552326553683625,-0.0009436065749697534,True,-0.001851963863059901,-0.00106691995748317,True
2,Dry lucerne,Dry grass,0.00015710022514993567,0.0009100730355509761,True,2.995332914548858e-05,0.0008292678661324483,True,-0.000170455452059065,0.0006519168251630047,False
3,BrushNoDirt,BrushDirt,-0.0002917081138690363,0.0011642466025158678,False,-0.0007265259605611484,0.0010967404386896815,False,-0.0009483734077208029,0.0006773668097706953,False
4,Control,BrushDirt,0.000253229972019956,0.001714240385564482,True,-0.0005546157866061764,0.0010884099883147417,False,-0.0003422691282572365,0.0014127166585596218,False
5,Control,BrushNoDirt,-0.00021009854296480659,0.0012743143377496684,False,-0.0008988593116194029,0.0010017327628993006,False,-0.000316023495157662,0.0014750562805094828,False
6,RubDirt,BrushDirt,-0.000762805487152442,0.0006872887414371769,False,-0.0003776794853506235,0.0015598889275365711,False,-0.0008877345209578013,0.0007457149226158884,False
7,RubDirt,BrushNoDirt,-0.0012248516943656933,0.0002424592379941284,False,-0.0007353570953336401,0.001438500509474451,False,-0.0007001023025903748,0.0008899016512133582,False
8,RubDirt,Control,-0.001712519259730272,-0.00026396532816701923,True,-0.0007065746331656698,0.001324251222551288,False,-0.0013966918883318196,0.0003484552317308276,False
9,Clover+dust,Clover,-0.0009234867597703506,0.00024777228755994076,False,-0.0005927844060024006,0.0007354687207820852,False,-0.00048562111886505364,0.0008962111852853001,False
10,Grass,Clover,-0.0006961492171793063,0.000588126398070822,False,2.740816519721823e-05,0.0016023334475637782,True,0.0002035860630411482,0.001959710412073854,True
11,Grass,Clover+dust,-0.0003098287862916817,0.0009792714933459549,False,-0.00012109645827142673,0.0015067638790808207,False,2.566351884188729e-05,0.0017541848898600457,True
12,Grass+dust,Clover,-0.0010423692705897173,0.00019554931278683538,False,0.00017536646152206168,0.0017401411388256371,True,0.0003272131950610859,0.0018121403815644164,True
13,Grass+dust,Clover+dust,-0.0006849067567882211,0.0004901688900337617,False,8.818948942974272e-05,0.001710717508555006,True,0.0001504319824055215,0.001657143002876498,True
14,Grass+dust,Grass,-0.001022189008569784,0.00022844289000317693,False,-0.0007537333097397859,0.001056034767043674,False,-0.0008956116369714309,0.0008794647423915281,False
