,Treatment_i,Treatment_j,isSignificant_NewEplsar,isSignificant_on_Toothfrax,isSignificant_on_ConfoMap,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%
2,Dry lucerne,Dry grass,True,False,True,0.00015710022514993567,0.0009100730355509761,2.995332914548858e-05,0.0008292678661324483,-0.000170455452059065,0.0006519168251630047
4,Control,BrushDirt,True,False,False,0.000253229972019956,0.001714240385564482,-0.0005546157866061764,0.0010884099883147417,-0.0003422691282572365,0.0014127166585596218
8,RubDirt,Control,True,False,False,-0.001712519259730272,-0.00026396532816701923,-0.0007065746331656698,0.001324251222551288,-0.0013966918883318196,0.0003484552317308276
10,Grass,Clover,False,True,True,-0.0006961492171793063,0.000588126398070822,2.740816519721823e-05,0.0016023334475637782,0.0002035860630411482,0.001959710412073854
11,Grass,Clover+dust,False,True,False,-0.0003098287862916817,0.0009792714933459549,-0.00012109645827142673,0.0015067638790808207,2.566351884188729e-05,0.0017541848898600457
12,Grass+dust,Clover,False,True,True,-0.0010423692705897173,0.00019554931278683538,0.00017536646152206168,0.0017401411388256371,0.0003272131950610859,0.0018121403815644164
13,Grass+dust,Clover+dust,False,True,True,-0.0006849067567882211,0.0004901688900337617,8.818948942974272e-05,0.001710717508555006,0.0001504319824055215,0.001657143002876498
