,Treatment_i,Treatment_j,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,isSignificant_NewEplsar,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.002215366123635267,-0.0015097351100460121,True,-0.002124852591560117,-0.00145880355383102,True,-0.00200677019194403,-0.0013334076686015814,True
1,Dry lucerne,Dry bamboo,-0.001589523656054277,-0.0009349198455809551,True,-0.001672045714840157,-0.0010088186013560451,True,-0.00172544710478901,-0.0010930754361902534,True
2,Dry lucerne,Dry grass,0.0002789920262894082,0.0009777905517938876,True,0.00011509959965451134,0.0007707697665463063,True,-8.451301375552307e-05,0.0005646454267794208,False
3,BrushNoDirt,BrushDirt,-0.0005487018884833472,0.0006958624367489002,False,-0.0006208455787926153,0.0005602133169800682,False,-0.0007728598806937325,0.0002666363099589254,False
4,Control,BrushDirt,-0.0010933303719959239,0.00020078014980928153,False,-0.0010349851652579362,0.00018148980724287824,False,-0.000988349145895055,0.0001187373859870465,False
5,Control,BrushNoDirt,-0.0010947693903667999,0.00011780437889891658,False,-0.0009470880780711081,0.00019412189714752248,False,-0.0007154925802842369,0.000341889478338506,False
6,RubDirt,BrushDirt,-0.0011162524362120798,0.000106604798754907,False,-0.0008275115564659659,0.0003171578714663941,False,-0.0007575087238791933,0.0003456979359511524,False
7,RubDirt,BrushNoDirt,-0.0011297723576806796,9.615460427309108e-06,False,-0.0007292515697368123,0.0003344918271219406,False,-0.00045011642625839856,0.0005713889863393172,False
8,RubDirt,Control,-0.0006468385941489214,0.0005118380070517583,False,-0.000380767925661051,0.0007627330430342304,False,-0.00030258187097655044,0.0007826337882026317,False
9,Clover+dust,Clover,-0.000963762307478537,0.00015312921342433946,False,-0.0005764874469505806,0.0005294420488871755,False,-0.0003772840110243805,0.000797152176597932,False
10,Grass,Clover,-0.0006051439431370828,0.0005970567537273952,False,-7.747965902620098e-05,0.0015041057616399782,False,0.00014805164698932318,0.0019195708832667716,True
11,Grass,Clover+dust,-0.00028121364332365796,0.0009295375897370637,False,-7.621777208000703e-05,0.0015035070523402912,False,-8.83826340462668e-05,0.001714506790316324,False
12,Grass+dust,Clover,-0.0010311660278130778,0.00012208952422720616,False,0.0002694260577942813,0.001667146987264838,True,0.000414300877687755,0.0017115832519970001,True
13,Grass+dust,Clover+dust,-0.0006605506605664745,0.00046449216687362565,False,0.00022504325194527846,0.0016729709398191368,True,0.00019196798905356057,0.0015065883576895623,True
14,Grass+dust,Grass,-0.0010435978784515878,0.00019080967629523412,False,-0.0006592071555621552,0.0011280845265766988,False,-0.0008708544981546136,0.0009906370835042028,False
