,Treatment_i,Treatment_j,isSignificant_NewEplsar,isSignificant_on_Toothfrax,isSignificant_on_ConfoMap,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%
2,Dry lucerne,Dry grass,True,False,True,0.0002789920262894082,0.0009777905517938876,0.00011509959965451134,0.0007707697665463063,-8.451301375552307e-05,0.0005646454267794208
10,Grass,Clover,False,True,False,-0.0006051439431370828,0.0005970567537273952,-7.747965902620098e-05,0.0015041057616399782,0.00014805164698932318,0.0019195708832667716
12,Grass+dust,Clover,False,True,True,-0.0010311660278130778,0.00012208952422720616,0.0002694260577942813,0.001667146987264838,0.000414300877687755,0.0017115832519970001
13,Grass+dust,Clover+dust,False,True,True,-0.0006605506605664745,0.00046449216687362565,0.00022504325194527846,0.0016729709398191368,0.00019196798905356057,0.0015065883576895623
