,Treatment_i,Treatment_j,SurfaceParameter,isSignificant_on_ConfoMap,isSignificant_on_Toothfrax,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%
2,Dry Lucerne,Dry Grass,epLsar,True,False,0.0002147366542726765,0.001527663293352629,-0.00016589674251123133,0.0011271982696215435
10,Grass,Clover,epLsar,False,True,-0.00019353493031167316,0.0029297168454700522,0.00027685388034143704,0.0037611863414955564
26,Grass,Clover+Dust,R²,False,True,-0.0007424656543574078,0.00031888968292815493,-0.0008124844011390886,-0.0001383946059457875
42,Grass+Dust,Clover,Asfc,True,False,-6.182086248614333,-0.20751485747511822,-6.128564013821286,0.017583159272149373
74,Grass+Dust,Grass,HAsfc81,False,True,-0.4628720164259183,0.013858282830879087,-0.5200553202182505,-0.05266563288656209
