#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,
#,#,#,a0,ax,ax2,ay,axy,ay2,X-axis rotation angle,Y-axis rotation angle,Name,File path,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Axis name - Z,NM-points ratio - Z,Name,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Reg. coefficient R²,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81),
#,#,#,Âµm,Âµm,Âµm,Âµm,Âµm,Âµm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,digits,Âµm,%,<no unit>,<no unit>,%,<no unit>,<no unit>,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,points,Âµm,<no unit>,<no unit>,Âµm,digits,Âµm,<no unit>,<no unit>,<no unit>,<no unit>,Âµm²,<no unit>,<no unit>,
#,#,#,nm,nm,nm,nm,nm,nm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,%,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,<no unit>,<no unit>,<no unit>,<no unit>,µm²,<no unit>,<no unit>,
2021/08/30,16:39:43,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-10106-lm2sin-a.mnt,-1367.394899,-0.01027190534,-0.0002487870641,5.70862169,0.0005140383553,-0.003941659101,-2.766210047e-13,2.6615246e-12,L6-Ovis-10106-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-10106-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,9417.257734,9417258,0.0009999999717,0,L6-Ovis-10106-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-10106-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,9094.528743,9094529,0.0009999999717,0.002015098422,0.01777668228,0.999072208,4.178203193,0.5616815931,0.601763689,1.018629486,
2021/08/30,16:40:31,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-11707-lm2sin-a.mnt,68.31111113,-1.568188129,0.001047575606,1.24712694,-8.519976167e-05,-0.0007617233067,8.723505903e-14,-2.14860291e-14,L6-Ovis-11707-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-11707-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,4399.857759,43998577,0.0001000000013,0,L6-Ovis-11707-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-11707-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,4238.809257,42388092,0.0001000000013,0.001374148085,0.01731278487,0.9990151875,3.477760265,0.9284135559,0.3644793402,0.6986570444,
2021/08/30,16:41:19,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-20094-lm2sin-a.mnt,-134.3650935,-0.6205624523,0.0003588062451,1.206362824,7.848349679e-05,-0.0008177935168,1.207730973e-13,2.845298832e-13,L6-Ovis-20094-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-20094-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,6081.780781,60817807,0.0001000000013,0,L6-Ovis-20094-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-20094-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,6011.01178,60110117,0.0001000000013,0.001598970816,0.01758878535,0.9994193867,5.749629498,0.5616815931,0.4150545339,0.9561412692,
2021/08/30,16:42:07,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-21376-lm2sin-a.mnt,1707.513443,-3.320810639,0.001536320115,-2.339836437,0.001192453238,0.0009094986523,-1.045916675e-12,-2.697182264e-13,L6-Ovis-21376-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-21376-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,14039.9056,14039906,0.0009999999717,0,L6-Ovis-21376-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-21376-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,13333.97462,13333975,0.0009999999717,0.002319587693,0.01772829343,0.9989206348,6.721419692,0.5227709394,0.5151187548,1.136253648,
2021/08/30,16:42:55,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-70379-lm2sin-a.mnt,-564.8617129,-0.3408945673,-0.0004640495689,3.604821147,0.001373950832,-0.003017098578,-1.911939377e-13,-5.357792787e-14,L6-Ovis-70379-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-70379-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,4496.11286,44961128,0.0001000000013,0,L6-Ovis-70379-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-70379-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,3711.48635,37114863,0.0001000000013,0.004003783605,0.01613178951,0.9985396332,2.765267512,0.3162715712,0.266925965,0.8148832458,
2021/08/30,16:43:42,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-80147-lm2sin-a.mnt,-3560.895321,4.479829489,-0.002837637386,9.230698204,-6.853569984e-05,-0.005920800231,-2.69389083e-12,-1.349505431e-12,L6-Ovis-80147-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-80147-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,10074.66172,10074662,0.0009999999717,0,L6-Ovis-80147-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-80147-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,9516.807731,9516808,0.0009999999717,0.002164641667,0.0184560074,0.9994226963,5.719707063,0.8042368418,0.5735814754,1.167099988,
2021/08/30,16:44:28,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-80288-lm2sin-a.mnt,-460.8018343,0.1697670387,-0.0003331202144,1.966876065,0.0004514845108,-0.001496150957,-6.409290866e-14,-1.142873888e-14,L6-Ovis-80288-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-80288-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,7276.064297,72760642,0.0001000000013,0,L6-Ovis-80288-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-80288-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,7053.343094,70533430,0.0001000000013,0.001964860107,0.01760359512,0.9973720806,2.295127417,4.192714753,0.5649856533,1.193106753,
2021/08/30,16:45:15,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-80748-lm2sin-a.mnt,-2305.513616,2.630531675,-0.00205638257,6.865090123,0.0007450646903,-0.004804026181,-3.561721433e-13,9.60014026e-14,L6-Ovis-80748-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-80748-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,7359.863792,7359864,0.0009999999717,0,L6-Ovis-80748-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-80748-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,7887.751777,7887752,0.0009999999717,0.008242304939,0.01809470653,0.9984611787,3.279549914,1.329337467,0.387290184,1.054638023,
2021/08/30,16:46:02,D:\Data\3Ddata\SSFA\Sheeps\ConfoMap results\v8.2.9678\SSFA-Sheeps_NMPfilled_v2 --- L6-Ovis-90074-lm2sin-a.mnt,-919.6899462,0.1559871403,5.260382617e-05,3.16534634,-0.0003071601408,-0.00188758802,2.352182628e-13,1.033157995e-14,L6-Ovis-90074-lm2sin-a,D:\Data\3Ddata\SSFA\Sheeps\Original surfaces\L6-Ovis-90074-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,4107.099855,41070998,0.0001000000013,0,L6-Ovis-90074-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane),Z,0,L6-Ovis-90074-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,Topography,3957.626653,39576266,0.0001000000013,0.001314585174,0.0180213882,0.9992944577,2.745796162,0.3651049029,0.527614108,1.03958464,
