,Treatment_i,Treatment_j,SurfaceParameter,isSignificant_on_ConfoMap,isSignificant_on_Toothfrax,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%
2,Dry lucerne,Dry grass,epLsar,True,False,5.6753604224379396e-05,0.001571242383171469,-0.000322967814931682,0.0012352092584702855
11,Grass,Clover+dust,epLsar,False,True,-0.00022944562964366836,0.002854917409600322,4.862555291543447e-05,0.0033237145190753827
15,Dry grass,Dry bamboo,R²,True,False,0.0006589618350520795,0.0019696320391219165,-0.00035076238880280605,0.0002527625858472103
16,Dry lucerne,Dry bamboo,R²,True,False,6.667617459056021e-05,0.0014471821658784269,-0.00040693990019541153,0.00014387283360379945
26,Grass,Clover+dust,R²,False,True,-0.0007098173881618782,0.0005601597225339313,-0.0008891887895669036,-0.00010323943254847683
38,RubDirt,Control,Asfc,True,False,-43.36512626294183,-0.7920987785952773,-36.453023327252964,2.4216495067170776
