,Treatment_i,Treatment_j,isSignificant_NewEplsar,isSignificant_on_Toothfrax,isSignificant_on_ConfoMap,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%
4,Control,BrushDirt,True,False,False,0.00035952841498843697,0.0018535552877984758,-0.0005635332872239463,0.0012969125029278549,-0.0005857110020520533,0.0013891430710323122
8,RubDirt,Control,True,False,False,-0.001777000828706334,-0.00025072449116190067,-0.0007039127833267232,0.001331910297326019,-0.0014427600115053567,0.00046631677684168884
10,Grass,Clover,False,True,False,-0.0007453861210355696,0.0005902956538322308,-0.00010899399719302011,0.0015438918522958504,0.0002322414637625792,0.0020111061795269045
11,Grass,Clover+dust,False,True,False,-0.00030372016899951284,0.0009857588372943007,-0.00018095090340934463,0.0015401484980271244,3.2330685444513564e-05,0.001811945979190526
12,Grass+dust,Clover,False,True,True,-0.0011155466326236473,0.00014909408063570537,0.00012702819068278166,0.0017519087841354026,0.0003148190056604764,0.0019396161982585978
13,Grass+dust,Clover+dust,False,True,True,-0.0006692419449299301,0.0005210908291989522,1.3919600571567116e-05,0.0016731870776507387,0.00012163343470724568,0.0017227149977995376
