,Treatment_i,Treatment_j,isSignificant_NewEplsar,isSignificant_on_Toothfrax,isSignificant_on_ConfoMap,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%
4,Control,BrushDirt,True,False,False,0.00035952841498843697,0.0018535552877984758,-0.0006809310019166642,0.0011843383891620004,-0.0005771420167400248,0.0014132410863942136
8,RubDirt,Control,True,False,False,-0.001777000828706334,-0.00025072449116190067,-0.0006580448636112615,0.0013116139164574352,-0.0014433618945252757,0.0005127224142939409
10,Grass,Clover,False,True,False,-0.0007453861210355696,0.0005902956538322308,-2.7495037542976642e-05,0.0016132550441355776,0.00020597501803848654,0.0020185198188277923
12,Grass+dust,Clover,False,True,True,-0.0011155466326236473,0.00014909408063570537,0.00011138722747249383,0.001722414270687603,0.00029883199427677924,0.001861353192056668
13,Grass+dust,Clover+dust,False,True,False,-0.0006692419449299301,0.0005210908291989522,-7.248677774740295e-06,0.0016964681128266719,0.00010463746288410265,0.0017025261261774402
